95	    model	 uk	gun	main	BGM075_120mm_45_QF_MkIX	BGM075_120mm_45_QF_MkIX.model
227	    model	 uk	gun	main	BGM075_120mm_45_QF_MkIX	BGM075_120mm_45_QF_MkIX.model
354	    model	 uk	gun	main	BGM075_120mm_45_QF_MkIX	BGM075_120mm_45_QF_MkIX.model
481	    model	 uk	gun	main	BGM075_120mm_45_QF_MkIX	BGM075_120mm_45_QF_MkIX.model
663	    model	 uk	gun	torpedo	BGT005_21in_Quad_Torpedo_Tube	BGT005_21in_Quad_Torpedo_Tube.model
781	    model	 uk	gun	torpedo	BGT005_21in_Quad_Torpedo_Tube	BGT005_21in_Quad_Torpedo_Tube.model
959	    model	 uk	gun	aaircraft	BGA004_12mm62_HI	BGA004_12mm62_HI.model
1027	    model	 uk	gun	aaircraft	BGA004_12mm62_HI	BGA004_12mm62_HI.model
1144	    model	 uk	gun	dcharge	BGB110_Depth_Charge_Thrower	BGB110_Depth_Charge_Thrower.model
1241	    model	 uk	gun	dcharge	BGB110_Depth_Charge_Thrower	BGB110_Depth_Charge_Thrower.model
1338	    model	 uk	gun	dcharge	BGB112_Depth_Charge_Roller_Track	BGB112_Depth_Charge_Roller_Track.model
1380	    model	 uk	part	director	BD001_Director_Mk_I	BD001_Director_Mk_I.model
1478	    model	 uk	part	finder	BF064_Rangefinder_MS20_2_7_m	BF064_Rangefinder_MS20_2_7_m.model
2447	   model	 uk	ship	destroyer	BSD003_Gallant_1940	BSD003_Gallant_1940.model
2836	    model	 uk	gun	main	BGM063_13_5IN_45_Mark_V	BGM063_13_5IN_45_Mark_V.model
2968	    model	 uk	gun	main	BGM063_13_5IN_45_Mark_V	BGM063_13_5IN_45_Mark_V.model
3105	    model	 uk	gun	main	BGM063_13_5IN_45_Mark_V	BGM063_13_5IN_45_Mark_V.model
3237	    model	 uk	gun	main	BGM063_13_5IN_45_Mark_V	BGM063_13_5IN_45_Mark_V.model
3369	    model	 uk	gun	main	BGM063_13_5IN_45_Mark_V	BGM063_13_5IN_45_Mark_V.model
3648	    model	 uk	part	finder	BF037_rangefinder_9ft	BF037_rangefinder_9ft.model
3903	    model	 uk	gun	secondary	BGS071_4in_50_BL_MKVII	BGS071_4in_50_BL_MKVII.model
4012	    model	 uk	gun	secondary	BGS064_4_7in40_QF_MkVIII	BGS064_4_7in40_QF_MkVIII.model
4121	    model	 uk	gun	secondary	BGS064_4_7in40_QF_MkVIII	BGS064_4_7in40_QF_MkVIII.model
4230	    model	 uk	gun	secondary	BGS064_4_7in40_QF_MkVIII	BGS064_4_7in40_QF_MkVIII.model
4337	    model	 uk	gun	secondary	BGS071_4in_50_BL_MKVII	BGS071_4in_50_BL_MKVII.model
4444	    model	 uk	gun	secondary	BGS071_4in_50_BL_MKVII	BGS071_4in_50_BL_MKVII.model
4556	    model	 uk	gun	secondary	BGS071_4in_50_BL_MKVII	BGS071_4in_50_BL_MKVII.model
4668	    model	 uk	gun	secondary	BGS071_4in_50_BL_MKVII	BGS071_4in_50_BL_MKVII.model
4780	    model	 uk	gun	secondary	BGS071_4in_50_BL_MKVII	BGS071_4in_50_BL_MKVII.model
4892	    model	 uk	gun	secondary	BGS071_4in_50_BL_MKVII	BGS071_4in_50_BL_MKVII.model
5004	    model	 uk	gun	secondary	BGS071_4in_50_BL_MKVII	BGS071_4in_50_BL_MKVII.model
5116	    model	 uk	gun	secondary	BGS071_4in_50_BL_MKVII	BGS071_4in_50_BL_MKVII.model
5228	    model	 uk	gun	secondary	BGS071_4in_50_BL_MKVII	BGS071_4in_50_BL_MKVII.model
5340	    model	 uk	gun	secondary	BGS071_4in_50_BL_MKVII	BGS071_4in_50_BL_MKVII.model
5452	    model	 uk	gun	secondary	BGS071_4in_50_BL_MKVII	BGS071_4in_50_BL_MKVII.model
5564	    model	 uk	gun	secondary	BGS071_4in_50_BL_MKVII	BGS071_4in_50_BL_MKVII.model
5676	    model	 uk	gun	secondary	BGS071_4in_50_BL_MKVII	BGS071_4in_50_BL_MKVII.model
5783	    model	 uk	gun	secondary	BGS071_4in_50_BL_MKVII	BGS071_4in_50_BL_MKVII.model
5890	    model	 uk	gun	secondary	BGS071_4in_50_BL_MKVII	BGS071_4in_50_BL_MKVII.model
5999	    model	 uk	gun	secondary	BGS064_4_7in40_QF_MkVIII	BGS064_4_7in40_QF_MkVIII.model
6210	    model	 uk	gun	aaircraft	BGA067_2pdr_QF_MKII_PomPom	BGA067_2pdr_QF_MKII_PomPom.model
6278	    model	 uk	gun	aaircraft	BGA067_2pdr_QF_MKII_PomPom	BGA067_2pdr_QF_MKII_PomPom.model
6346	    model	 uk	gun	aaircraft	BGA067_2pdr_QF_MKII_PomPom	BGA067_2pdr_QF_MKII_PomPom.model
6414	    model	 uk	gun	aaircraft	BGA067_2pdr_QF_MKII_PomPom	BGA067_2pdr_QF_MKII_PomPom.model
6466	    model	 uk	part	director	BD017_HACS_MK_II	BD017_HACS_MK_II.model
6481	    model	 uk	part	director	BD017_HACS_MK_II	BD017_HACS_MK_II.model
6496	    model	 uk	part	director	BD004_Director_Mk7_With_finder_15ft_small	BD004_Director_Mk7_With_finder_15ft_small.model
7924	   model	 uk	ship	battleship	BSB004_Orion_1934	BSB004_Orion_1934.model
8271	    model	 uk	gun	secondary	BGS071_4in_50_BL_MKVII	BGS071_4in_50_BL_MKVII.model
8379	    model	 uk	gun	secondary	BGS006_4in45_QF_Mk_XIX	BGS006_4in45_QF_Mk_XIX.model
8487	    model	 uk	gun	secondary	BGS006_4in45_QF_Mk_XIX	BGS006_4in45_QF_Mk_XIX.model
8595	    model	 uk	gun	secondary	BGS006_4in45_QF_Mk_XIX	BGS006_4in45_QF_Mk_XIX.model
8702	    model	 uk	gun	secondary	BGS071_4in_50_BL_MKVII	BGS071_4in_50_BL_MKVII.model
8809	    model	 uk	gun	secondary	BGS071_4in_50_BL_MKVII	BGS071_4in_50_BL_MKVII.model
8921	    model	 uk	gun	secondary	BGS071_4in_50_BL_MKVII	BGS071_4in_50_BL_MKVII.model
9033	    model	 uk	gun	secondary	BGS071_4in_50_BL_MKVII	BGS071_4in_50_BL_MKVII.model
9145	    model	 uk	gun	secondary	BGS071_4in_50_BL_MKVII	BGS071_4in_50_BL_MKVII.model
9257	    model	 uk	gun	secondary	BGS071_4in_50_BL_MKVII	BGS071_4in_50_BL_MKVII.model
9369	    model	 uk	gun	secondary	BGS071_4in_50_BL_MKVII	BGS071_4in_50_BL_MKVII.model
9481	    model	 uk	gun	secondary	BGS071_4in_50_BL_MKVII	BGS071_4in_50_BL_MKVII.model
9593	    model	 uk	gun	secondary	BGS071_4in_50_BL_MKVII	BGS071_4in_50_BL_MKVII.model
9705	    model	 uk	gun	secondary	BGS071_4in_50_BL_MKVII	BGS071_4in_50_BL_MKVII.model
9817	    model	 uk	gun	secondary	BGS071_4in_50_BL_MKVII	BGS071_4in_50_BL_MKVII.model
9929	    model	 uk	gun	secondary	BGS071_4in_50_BL_MKVII	BGS071_4in_50_BL_MKVII.model
10041	    model	 uk	gun	secondary	BGS071_4in_50_BL_MKVII	BGS071_4in_50_BL_MKVII.model
10148	    model	 uk	gun	secondary	BGS071_4in_50_BL_MKVII	BGS071_4in_50_BL_MKVII.model
10255	    model	 uk	gun	secondary	BGS071_4in_50_BL_MKVII	BGS071_4in_50_BL_MKVII.model
10363	    model	 uk	gun	secondary	BGS006_4in45_QF_Mk_XIX	BGS006_4in45_QF_Mk_XIX.model
10651	    model	 uk	gun	aaircraft	BGA004_12mm62_HI	BGA004_12mm62_HI.model
10719	    model	 uk	gun	aaircraft	BGA004_12mm62_HI	BGA004_12mm62_HI.model
10787	    model	 uk	gun	aaircraft	BGA004_12mm62_HI	BGA004_12mm62_HI.model
10855	    model	 uk	gun	aaircraft	BGA004_12mm62_HI	BGA004_12mm62_HI.model
10923	    model	 uk	gun	aaircraft	BGA067_2pdr_QF_MKII_PomPom	BGA067_2pdr_QF_MKII_PomPom.model
10991	    model	 uk	gun	aaircraft	BGA067_2pdr_QF_MKII_PomPom	BGA067_2pdr_QF_MKII_PomPom.model
11059	    model	 uk	gun	aaircraft	BGA067_2pdr_QF_MKII_PomPom	BGA067_2pdr_QF_MKII_PomPom.model
11127	    model	 uk	gun	aaircraft	BGA067_2pdr_QF_MKII_PomPom	BGA067_2pdr_QF_MKII_PomPom.model
11179	    model	 uk	part	director	BD050_4in_Director	BD050_4in_Director.model
11194	    model	 uk	part	director	BD050_4in_Director	BD050_4in_Director.model
11211	    model	 uk	part	director	BD005_Director_Mk7_With_finder_15ft	BD005_Director_Mk7_With_finder_15ft.model
12623	   model	 uk	ship	battleship	BSB004_Orion_1934	BSB004_Orion_1934.model
13040	    model	 uk	gun	secondary	BGS006_4in45_QF_Mk_XIX	BGS006_4in45_QF_Mk_XIX.model
13165	    model	 uk	gun	secondary	BGS006_4in45_QF_Mk_XIX	BGS006_4in45_QF_Mk_XIX.model
13290	    model	 uk	gun	secondary	BGS006_4in45_QF_Mk_XIX	BGS006_4in45_QF_Mk_XIX.model
13527	    model	 uk	gun	aaircraft	BGA002_2_pdr_MkVII_Quad	BGA002_2_pdr_MkVII_Quad.model
13579	    model	 uk	part	director	BD010_DCT_MKll	BD010_DCT_MKll.model
14668	   model	 uk	ship	cruiser	BSC018_Black_Swan_1940	BSC018_Black_Swan_1940.model
15024	    model	 uk	gun	main	BGM079_120mm_45_QF_CP_MkXIX_Twin	BGM079_120mm_45_QF_CP_MkXIX_Twin.model
15163	    model	 uk	gun	main	BGM079_120mm_45_QF_CP_MkXIX_Twin	BGM079_120mm_45_QF_CP_MkXIX_Twin.model
15290	    model	 uk	gun	main	BGM079_120mm_45_QF_CP_MkXIX_Twin	BGM079_120mm_45_QF_CP_MkXIX_Twin.model
